"Location","Region","Latitude","Longitude"
"Mandi House","Central Delhi","28.6315","77.2167"
"Ghitorni","South Delhi","28.4523","77.1239"
"Rajiv Nagar","NCR Gurgaon","28.4575","77.0266"
"Sohna Road","NCR Gurgaon","28.2879","77.0631"
"Bahadurgarh","NCR Bahadurgarh","28.6785","76.9260"
"Moolchand","South Delhi","28.5562","77.2435"
"INA Market","South Delhi","28.6653","77.2342"
"Sushant Lok","NCR Gurgaon","28.4478","77.0738"
"IIT Delhi","South Delhi","28.5459","77.1913"
"Satguru Ram Singh Marg","West Delhi","28.6431","77.1274"
"Munirka","South Delhi","28.5428","77.1887"
"IGNOU Road","South Delhi","28.5075","77.1815"
"Akshardham","East Delhi","28.6105","77.2770"
"Chhatarpur","South Delhi","28.5073","77.1642"
"IMT Manesar","NCR Manesar","28.3546","76.9166"
"Azadpur","North Delhi","28.7260","77.1687"
"Jhilmil","East Delhi","28.6736","77.3141"
"Sikanderpur","NCR Gurgaon","28.4907","77.0870"
"Rohini West","North West Delhi","28.7203","77.1118"
"Kashmere Gate ISBT","North Delhi","28.6675","77.2267"
"Kherki Daula Toll","NCR Gurgaon","28.4084","76.9819"
"IFFCO Chowk","NCR Gurgaon","28.4678","77.0729"
"Hauz Rani","South Delhi","28.5364","77.2175"
"Sarai Kale Khan","Central Delhi","28.6034","77.2467"
"Vishwavidyalaya","North Delhi","28.6862","77.2098"
"Maidan Garhi","South Delhi","28.4934","77.2083"
"Yamuna Bank","East Delhi","28.6048","77.2816"
"Khan Market","Central Delhi","28.6006","77.2274"
"Pragati Maidan","Central Delhi","28.6187","77.2774"
"Mansarovar Park","East Delhi","28.6710","77.3047"
"Rithala","North West Delhi","28.7345","77.1194"
"Saidulajab","South Delhi","28.5290","77.2111"
"Nawada","West Delhi","28.6194","77.0417"
"Shahdara","East Delhi","28.6731","77.3020"
"Tilak Nagar","West Delhi","28.6345","77.0962"
"DLF Phase 3","NCR Gurgaon","28.5156","77.0966"
"Laxmi Nagar","East Delhi","28.6346","77.2774"
"Huda City Centre","NCR Gurgaon","28.4571","77.0730"
"Mehrauli","South Delhi","28.5100","77.1872"
"Botanical Garden","NCR Noida","28.5647","77.3346"
"Ramesh Nagar","West Delhi","28.6568","77.1427"
"Dwarka Sector 21","South West Delhi","28.5679","77.0434"
"Noida Film City","NCR Noida","28.5706","77.3260"
"India Gate","Central Delhi","28.6129","77.2295"
"Barakhamba Road","Central Delhi","28.6305","77.2192"
"Gurgaon Sector 56","NCR Gurgaon","28.4280","77.0755"
"Ashram","South Delhi","28.5831","77.2669"
"Gurgaon Sector 29","NCR Gurgaon","28.4670","77.0599"
"Jor Bagh","Central Delhi","28.5969","77.2145"
"Saket","South Delhi","28.5244","77.2137"
"Basai Dhankot","NCR Gurgaon","28.4778","76.9467"
"Udyog Vihar Phase 4","NCR Gurgaon","28.5097","77.0933"
"Raj Nagar Extension","NCR Ghaziabad","28.7016","77.4260"
"Lok Kalyan Marg","Central Delhi","28.6006","77.2191"
"Greater Kailash","South Delhi","28.5421","77.2411"
"Sarojini Nagar","South Delhi","28.5753","77.1996"
"GTB Nagar","North Delhi","28.6922","77.1957"
"Vatika Chowk","NCR Gurgaon","28.3970","77.0384"
"Golf Course Road","NCR Gurgaon","28.4322","77.0996"
"Ghaziabad","NCR Ghaziabad","28.6692","77.4538"
"Narsinghpur","NCR Gurgaon","28.4439","77.0197"
"Panchsheel Park","South Delhi","28.5458","77.2293"
"Badarpur","South Delhi","28.4963","77.2916"
"Pataudi Chowk","NCR Gurgaon","28.5149","76.7752"
"Gwal Pahari","NCR Gurgaon","28.4178","77.1433"
"Tagore Garden","West Delhi","28.6451","77.1227"
"Samaypur Badli","North Delhi","28.7714","77.1217"
"Hero Honda Chowk","NCR Gurgaon","28.4246","77.0448"
"Delhi Gate","Central Delhi","28.6469","77.2436"
"Chanakyapuri","Central Delhi","28.5903","77.1938"
"RK Puram","South Delhi","28.5716","77.1815"
"Shivaji Park","West Delhi","28.6707","77.1579"
"Keshav Puram","North Delhi","28.6841","77.1619"
"Saket A Block","South Delhi","28.5244","77.2137"
"ITO","Central Delhi","28.6280","77.2427"
"Indraprastha","Central Delhi","28.6189","77.2433"
"Janakpuri","West Delhi","28.6138","77.0855"
"Ashok Park Main","West Delhi","28.6702","77.1483"
"Connaught Place","Central Delhi","28.6315","77.2167"
"Jahangirpuri","North Delhi","28.7281","77.1666"
"Govindpuri","South Delhi","28.5417","77.2596"
"Welcome","East Delhi","28.6836","77.2886"
