"Location","Region","Latitude","Longitude"
"Palam Vihar","NCR Gurgaon","28.4575","77.0266"
"Shastri Nagar","North Delhi","28.7161","77.1591"
"Khandsa","NCR Gurgaon","28.4575","77.0266"
"Central Secretariat","Central Delhi","28.6448","77.2167"
"Ghitorni Village","South Delhi","28.5276","77.2221"
"AIIMS","South Delhi","28.5276","77.2221"
"Vaishali","NCR Ghaziabad","28.6692","77.4538"
"Mayur Vihar","East Delhi","28.6201","77.2874"
"Noida Sector 62","NCR Noida","28.5700","77.3260"
"Rohini","North West Delhi","28.7508","77.0566"
"Udyog Bhawan","Central Delhi","28.6448","77.2167"
"Vidhan Sabha","Central Delhi","28.6448","77.2167"
"Patel Chowk","Central Delhi","28.6448","77.2167"
"Malviya Nagar","South Delhi","28.5276","77.2221"
"Madipur","West Delhi","28.6450","77.1058"
"Jama Masjid","Central Delhi","28.6448","77.2167"
"IGI Airport","South West Delhi","28.6097","77.0421"
"Vinobapuri","South Delhi","28.5276","77.2221"
"Kashmere Gate","North Delhi","28.7161","77.1591"
"Pitampura","North West Delhi","28.7508","77.0566"
"Punjabi Bagh","West Delhi","28.6450","77.1058"
"Greater Noida","NCR Greater Noida","28.4744","77.5030"
"Tis Hazari","Central Delhi","28.6448","77.2167"
"Noida Sector 18","NCR Noida","28.5700","77.3260"
"Kanhaiya Nagar","North Delhi","28.7161","77.1591"
"Okhla","South Delhi","28.5276","77.2221"
"Cyber Hub","NCR Gurgaon","28.4575","77.0266"
"Sadar Bazar Gurgaon","NCR Gurgaon","28.4575","77.0266"
"Shastri Park","East Delhi","28.6201","77.2874"
"Faridabad Sector 15","NCR Faridabad","28.4030","77.3132"
"Qutub Minar","South Delhi","28.5276","77.2221"
"Mundka","West Delhi","28.6450","77.1058"
"DLF City Court","NCR Gurgaon","28.4575","77.0266"
"New Colony","NCR Gurgaon","28.4575","77.0266"
"Nirman Vihar","East Delhi","28.6201","77.2874"
"New Delhi Railway Station","Central Delhi","28.6448","77.2167"
"Civil Lines Gurgaon","NCR Gurgaon","28.4575","77.0266"
"Seelampur","North East Delhi","28.7085","77.2825"
"Noida Extension","NCR Noida","28.5700","77.3260"
"Adarsh Nagar","North Delhi","28.7161","77.1591"
"Panipat","NCR Panipat","29.3909","76.9635"
"Karol Bagh","Central Delhi","28.6448","77.2167"
"Sultanpur","South Delhi","28.5276","77.2221"
"Moti Nagar","West Delhi","28.6450","77.1058"
"Dilshad Garden","East Delhi","28.6850","77.3010"
"Aya Nagar","South Delhi","28.5070","77.1830"
"Rajiv Chowk","Central Delhi","28.6448","77.2167"
"MG Road","NCR Gurgaon","28.4575","77.0266"
"Jasola","South Delhi","28.5276","77.2221"
"Ardee City","NCR Gurgaon","28.4575","77.0266"
"Meerut","NCR Meerut","28.9845","77.7064"
"Anand Vihar ISBT","East Delhi","28.6498","77.3150"
"Lajpat Nagar","South Delhi","28.5672","77.2435"
"Tughlakabad","South Delhi","28.5085","77.2412"
"Karkarduma","East Delhi","28.6727","77.3026"
"Dwarka Mor","South West Delhi","28.6097","77.0421"
"Anand Vihar","East Delhi","28.6498","77.3150"
"Uttam Nagar","West Delhi","28.6420","77.0346"
"Model Town","North Delhi","28.7161","77.1591"
